dlTableName,bucket_id
mdd_physl_invt_doc,676e39d3ff0cc7e5790e2d370b147db52079cf1a6dbf57ff0f33d652ae40be
mak_physl_invt_doc,86009702bc2c3bcd2c1c64cfb8e9a2e7ed7046d5e4b77786956ff1fe50586d
msb_physl_invt_doc,b9d5873094694ab819ba71c0018625cd49ce86fd42f0bcb15c76599bf3f872
mdd_article_promo_type_txt,21dcaf6ee5b8edc50e7916119c895fdf08776a2cf40dd7cb4e7b5c49d22949
mak_article_promo_type_txt,2ba2595ae3fa67e996046b483952b39dd0874d773829079aabf70f0463c71e
msb_article_promo_type_txt,7e7668c8116e6bea0358abe21da8e524f1862b883ba955f4300342d6465685
mak_fcc_pymts_rfnd,d761c748a59590bca03e3840bce7d620ed94d876eda1d418304db2ca18586b
mdd_article_storage,c714162af47c760b9acb34f98f71659a6fb94e0c26ff53485fed8b5732f5e6
mak_article_storage,35677c450a4677768a43cfbc88079e06711843105cc18583c4d9fb628d6239
msb_article_storage,086f38d88fcf1af3ff297b8b607a47cc8605b09ce4583e9d5dead9da9fe4d5
